Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Expected Delivery Date,Quantity,other,other2
ARKANSAS HEART HOSPITAL,1701 S SHACKELFORD RD,,LITTLE ROCK,PULASKI,AR,72211,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,48,0.0,12/21/2021 12:00:00 AM
Baptist Health Medical Center - LR,9601 BAPTISIT HEALTH DR,,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,144,,
Baptist Health Medical Center - LR,9601 BAPTISIT HEALTH DR,,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,144,,
CHI ST. VINCENT INFIRMARY,2 ST. VINCENT CIR,UNIT ATTN. PHARMACY,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,72,0.0,12/29/2021 12:00:00 AM
UAMS,4301 W. Markham St. Slot 571,"Pharmacy Stores Stockroom, G1030",Little Rock,PULASKI,AR,72205,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,216,96.0,01/02/2022 12:00:00 AM
UAMS,4301 W. Markham St. Slot 571,"Pharmacy Stores Stockroom, G1030",Little Rock,PULASKI,AR,72205,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,216,96.0,01/02/2022 12:00:00 AM
WASHINGTON REGIONAL MED. CNTR.,3215 N NORTHHILLS BLVD,,FAYETTEVILLE,WASHINGTON,AR,72703,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,72,24.0,12/30/2021 12:00:00 AM
WASHINGTON REGIONAL MED. CNTR.,3215 N NORTHHILLS BLVD,,FAYETTEVILLE,WASHINGTON,AR,72703,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,24.0,12/30/2021 12:00:00 AM
HIGHLANDS ONCOLOGY- PARKWAY,3901 PARKWAY CIR,100,SPRINGDALE,WASHINGTON,AR,72762,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,144,96.0,12/30/2021 12:00:00 AM
HIGHLANDS ONCOLOGY- PARKWAY,3901 PARKWAY CIR,100,SPRINGDALE,WASHINGTON,AR,72762,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/30/2021 12:00:00 AM,144,96.0,12/30/2021 12:00:00 AM
Chinle Comprehensive Healthcare,Hwy 191 and Hospital Road,,CHINLE,APACHE,AZ,86503,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,48,,
Chinle Comprehensive Healthcare,Hwy 191 and Hospital Road,,CHINLE,APACHE,AZ,86503,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,12/28/2021 12:00:00 AM,48,,
TUBA CITY REG HEALTH CARE CENTER,3008 EAST BIRCH AVE,,Tuba City,COCONINO,AZ,86045,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,24,,
CHANDLER REGIONAL MEDICAL CENTER,1955 W. Frye Road,,Chandler,MARICOPA,AZ,85224,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,120,,
SOUTHWELLNESS MEDICAL,10599 N TATUM BLVD,SUITE F151,PARADISE VALLEY,MARICOPA,AZ,85253,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,120,0.0,12/23/2021 12:00:00 AM
Phoenix Indian Medical Center,4212 N. 16th Street,,Phoenix,MARICOPA,AZ,85016,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,48.0,12/29/2021 12:00:00 AM
Phoenix Indian Medical Center,4212 N. 16th Street,,Phoenix,MARICOPA,AZ,85016,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,72,48.0,12/29/2021 12:00:00 AM
MAYO CLINIC PHOENIX,13400 E Shea Blvd,ATTN: PHARMACY SUITE 1-136E,SCOTTSDALE,MARICOPA,AZ,85259,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,120,,
Osborn Infusion,7400 E Osborn Rd,,Scottsdale,MARICOPA,AZ,85251,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,120,,
KINGMAN REGIONAL MEDICAL CENTER,3269 N STOCKTON HILL RD,INPATIENT HOSPITAL,KINGMAN,MOHAVE,AZ,86409,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,120,,
Highland Hospital,1411 East 31st Street,,Oakland,ALAMEDA,CA,94602,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,168,142.0,12/31/2021 12:00:00 AM
UCSF BENIOFF CHILDRENS HOSPITAL OA,747 52nd Street,,Oakland,ALAMEDA,CA,94609,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,01/02/2022 12:00:00 AM
ENLOE MEDICAL CENTER,1531 Esplanade,,Chico,BUTTE,CA,95926,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,72,72.0,12/31/2021 12:00:00 AM
Contra Costa Reg Med Center,2500 Alhambra Ave (CCRMC hospital),Inpatient Pharmacy,Martinez,CONTRA COSTA,CA,94553,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,,
INFECTIOUS DISEASE DOCTORS MEDICAL,365 Lennon Lane Ste 200,,Walnut Creek,CONTRA COSTA,CA,94598,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,,
SAINT AGNES MEDICAL CENTER,1303 East Herndon Ave,,Fresno,FRESNO,CA,93720,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,12/30/2021 12:00:00 AM
ST. JOSEPH HOSPITAL,2700 DOLBEER ST PHARMACY SERVICES,,EUREKA,HUMBOLDT,CA,95501,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
PIONEERS MEMORIAL HEALTHCARE DISTRI,207 W Legion Rd,,Brawley,IMPERIAL,CA,92227,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,24.0,01/01/2022 12:00:00 AM
EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,EL CENTRO,IMPERIAL,CA,92243,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,10.0,01/02/2022 12:00:00 AM
Kern County Hospital Authority,1111 Columbus St.,,Bakersfield,KERN,CA,93305,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,168,168.0,12/30/2021 12:00:00 AM
Prov St Josephs HC Disney FCC,501 S. Buena Vista St,Main Pharmacy,Burbank,LOS ANGELES,CA,91505,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,240,239.0,12/29/2021 12:00:00 AM
KAISER SC - DOWNEY MEDICAL CENTER,9353 IMPERIAL HWY 1ST FLOOR,,DOWNEY,LOS ANGELES,CA,90242,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,96,96.0,12/29/2021 12:00:00 AM
CITY OF HOPE NATIONAL MEDICAL CENTE,1500 DUARTE RD,,DUARTE,LOS ANGELES,CA,91010,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,264,264.0,12/29/2021 12:00:00 AM
CENTINELA HOSPITAL MEDICAL CENTER,555 East Hardy St,,Inglewood,LOS ANGELES,CA,90301,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
ANTELOPE VALLEY HOSPITAL,1600 W AVENUE J,ATTN: PHARMACY,LANCASTER,LOS ANGELES,CA,93534,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,12/31/2021 12:00:00 AM
ADVENTIST HEALTH WHITE MEMORIAL,1720 E. CESAR E CHAVEZ AVE ATTN,"TUNG NGUYEN, INPATIENT RX, ext 1536",LOS ANGELES,LOS ANGELES,CA,90033,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,14.0,12/28/2021 12:00:00 AM
CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD S TOWER LOWER,LEVEL STE RM A841,LOS ANGELES,LOS ANGELES,CA,90048,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,264,264.0,01/02/2022 12:00:00 AM
LAC-USC MEDICAL CENTER,1200 N STATE ST RM B2A100,Attention: INpatient Pharmacy,LOS ANGELES,LOS ANGELES,CA,90033,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,12/30/2021 12:00:00 AM
MARTIN LUTHER KING JR. COMMUNITY HO,1680 E 120TH ST,,LOS ANGELES,LOS ANGELES,CA,90059,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
OLIVE VIEW UCLA MEDICAL CENTER,14445 OLIVE VIEW DR Room1C-101,Attention IN-Patient PHARMACY,LOS ANGELES,LOS ANGELES,CA,91342,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/02/2022 12:00:00 AM
RONALD REAGAN UCLA MEDICAL CENTER,662 GAYLEY AVE B504A,,LOS ANGELES,LOS ANGELES,CA,90095,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,72,72.0,12/29/2021 12:00:00 AM
MEMORIALCARE LONG BEACH MEDICAL CEN,2801 Atlantic Av,,Long Beach,LOS ANGELES,CA,90806,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
CHILDRENS HOSPITAL LOS ANGELES,4650 W Sunset Blvd,Inpatient Pharmacy (Room 1401),Los Angeles,LOS ANGELES,CA,90027,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
Dignity Health CA Hospital,1401 S Grand Ave,,Los Angeles,LOS ANGELES,CA,90015,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,12/29/2021 12:00:00 AM
KECK HOSPITAL OF USC,1500 San Pablo Street,,Los Angeles,LOS ANGELES,CA,90033,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,264,264.0,12/30/2021 12:00:00 AM
KP LA Medical Center,"4867 Sunset Blvd, 1st floor",OUTPATIENT PHARMACY,Los Angeles,LOS ANGELES,CA,90027,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/02/2022 12:00:00 AM
HUNTINGTON HOSPITAL,100 W. CALIFORNIA BLVD.,,PASADENA,LOS ANGELES,CA,91105,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
POMONA VALLEY HOSPITAL MEDICAL CENT,1798 N GAREY AVE,,POMONA,LOS ANGELES,CA,91767,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,12/31/2021 12:00:00 AM
LAC HARBOR-UCLA MEDICAL CENTER,1000 W CARSON ST,Inpatient Pharmacy B403,TORRANCE,LOS ANGELES,CA,90502,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/02/2022 12:00:00 AM
VALLEY CHILDRENS HEALTHCARE,9300 Valley Childrens Place,Inpatient Pharmacy,Madera,MADERA,CA,93636,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,72,72.0,12/29/2021 12:00:00 AM
PROVIDENCE ST JUDE MED CENTER CHS,101 E Valencia Mesa Dr,,Fullerton,ORANGE,CA,92835,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,,
Providence Mission Hospital,27700 Medical Center Rd,,Mission Viejo,ORANGE,CA,92691,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/02/2022 12:00:00 AM
Hoag Mem Hosp PNB,1 Hoag Drive,,Newport Beach,ORANGE,CA,92663,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,48.0,12/28/2021 12:00:00 AM
Childrens Hospital of Orange County,1201 W. La Veta Ave,,Orange,ORANGE,CA,92868,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,23.0,12/30/2021 12:00:00 AM
PROVIDENCE ST. JOSEPH HOSPITAL ORAN,1100 West Stewart Drive,,Orange,ORANGE,CA,92868,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/01/2022 12:00:00 AM
UC Irvine Health,101 The City Dr S,"Bldg 1, Room 1428 (Pharmacy)",Orange,ORANGE,CA,92868,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,168,155.0,01/01/2022 12:00:00 AM
JFK MEMORIAL HOSPITAL,47111 MONROE ST,,INDIO,RIVERSIDE,CA,92201,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,120,,
DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,,PALM SPRINGS,RIVERSIDE,CA,92262,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,120,217.0,12/30/2021 12:00:00 AM
EISENHOWER MEDICAL CENTER,39000 Bob Hope Drive,,Rancho Mirage,RIVERSIDE,CA,92270,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,168,168.0,12/29/2021 12:00:00 AM
CDCR Central Fill Pharm,8364 Rovana Circle,,Sacramento,SACRAMENTO,CA,95828,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/22/2021 12:00:00 AM,960,940.0,12/31/2021 12:00:00 AM
Sutter Med Center Sac,2825 Capitol Ave,,Sacramento,SACRAMENTO,CA,95816,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,168,,
UC DAVIS MEDICAL CENTER,2315 Stockton Blvd,Central Pharmacy,Sacramento,SACRAMENTO,CA,95817,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,408,,
Arrowhead Regional Medical Center,400 North Pepper Avenue,Attention: Pharmacy Dept.,Colton,SAN BERNARDINO,CA,92324,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM,12/30/2021 12:00:00 AM,24,24.0,12/30/2021 12:00:00 AM
LOMA LINDA UNIVERSITY CHILDRENS HO,11223 Campus Street,Dock B,Loma Linda,SAN BERNARDINO,CA,92354,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,24,24.0,01/02/2022 12:00:00 AM
LOMA LINDA UNIVERSITY MEDICAL CENTE,11223 Campus Street,Dock B,Loma Linda,SAN BERNARDINO,CA,92354,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,24,24.0,01/02/2022 12:00:00 AM
SAN ANTONIO REGIONAL HOSPITAL,999 San Bernardino Rd.,,Upland,SAN BERNARDINO,CA,91786,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,48,48.0,12/30/2021 12:00:00 AM
RADY CHILDRENS HOSPITAL,3020 Childrens Way,,San Diego,SAN DIEGO,CA,92123,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,24,,
UC SAN DIEGO HEALTH - HILLCREST,200 West Arbor Dr,Dept. of Pharmacy,San Diego,SAN DIEGO,CA,92103,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,120,,
CALIFORNIA PACIFIC MEDICAL CENTER,1101 VAN NESS AVE INPATIENT,PHARMACY,SAN FRANCISCO,SAN FRANCISCO,CA,94109,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
UCSF MEDICAL CENTER,505 PARNASSUS AVE,ROOM M39C,SAN FRANCISCO,SAN FRANCISCO,CA,94143,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,0.0,01/01/2022 12:00:00 AM
KP SF Medical Center,2425 Geary Blvd,,San Francisco,SAN FRANCISCO,CA,94115,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
CENTRAL COAST HOME HEALTH,"253 GRANADA DR, Suite D",,SAN LUIS OBISPO,SAN LUIS OBISPO,CA,93401,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,,
SAN MATEO MEDICAL CENTER,222 W 39TH AVE,Attention: Pharmacy,SAN MATEO,SAN MATEO,CA,94403,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,,
SANTA BARBARA COTTAGE HOSPITAL,400 West Pueblo St,,Santa Barbara,SANTA BARBARA,CA,93105,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,,
Sansum Clinic,215 Pesetas Lane,,Santa Barbara,SANTA BARBARA,CA,93110,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,15.0,12/30/2021 12:00:00 AM
LUCILE PACKARD CHILDRENS HOSPITAL,725 WELCH RD ATTN DEPARTMENT OF,PHARMACY,PALO ALTO,SANTA CLARA,CA,94304,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,01/02/2022 12:00:00 AM
SANTA CLARA VALLEY MEDICAL CENTER -,751 S BASCOM AVE,,SAN JOSE,SANTA CLARA,CA,95128,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,12/30/2021 12:00:00 AM
KAISER PERM SANTA CLARA HOMESTEAD,700 LAWRENCE EXPY,PHARMACY,SANTA CLARA,SANTA CLARA,CA,95051,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,12/31/2021 12:00:00 AM
STANFORD HEALTH CARE - 300P,"300 Pasteur Dr, Room HO301",,Stanford,SANTA CLARA,CA,94305,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,96,96.0,01/02/2022 12:00:00 AM
DOMINICAN HOSPITAL,1555 Soquel Dr.,,Santa Cruz,SANTA CRUZ,CA,95065,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24.0,12/31/2021 12:00:00 AM
WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON ST,,WATSONVILLE,SANTA CRUZ,CA,95076,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,,
MERCY MED CENTER REDDING,2175 ROSALINE AVE,ATTN PHARMACY,REDDING,SHASTA,CA,96001,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,72,,
NORTHBAY MEDICAL CENTER,1200 B GALE WILSON BLVD DEPARTMENT,OF PHARMACY,FAIRFIELD,SOLANO,CA,94533,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48.0,01/02/2022 12:00:00 AM
ELITE URGENT CARE,1524 MCHENRY AVE STE 130,,MODESTO,STANISLAUS,CA,95350,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,24,24.0,12/30/2021 12:00:00 AM
St Johns RMC,1600 N Rose Ave,(Pharmacy 2nd Floor),Oxnard,VENTURA,CA,93030,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,48.0,12/29/2021 12:00:00 AM
Comm Mem Hosp - SanBuenaV,147 N Brent St,Attn: Inpatient Pharmacy,Ventura,VENTURA,CA,93003,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,47.0,12/29/2021 12:00:00 AM
UCHEALTH UNIVERSITY OF COLO HOSP,12605 E 16TH AVE,In Patient Pharmacy,AURORA,ADAMS,CO,80045,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/28/2021 12:00:00 AM,168,,
CHILDRENS HOSPITAL COLORADO,13123 E 16th Ave,In Patient Pharmacy,Aurora,ADAMS,CO,80045,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,192,0.0,12/17/2021 12:00:00 AM
PRESBYTERIAN ST LUKES MED CENTER,1719 E 19TH AVE,PHARMACY,DENVER,DENVER,CO,80218,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,168,,
CDPHE STATE LAB,8100 E Lowry Blvd,,Denver,DENVER,CO,80230,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/28/2021 12:00:00 AM,96,,
PORTER ADVENTIST HOSPITAL,2525 S Downing St,Porter Pharmacy,Denver,DENVER,CO,80210,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/28/2021 12:00:00 AM,192,192.0,01/02/2022 12:00:00 AM
STAMFORD HOSPITAL,1 HOSPITAL PLAZA,GROUND FLOOR,STAMFORD,FAIRFIELD,CT,06902,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,20.0,01/02/2022 12:00:00 AM
STAMFORD HOSPITAL,1 HOSPITAL PLAZA,GROUND FLOOR,STAMFORD,FAIRFIELD,CT,06902,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,20.0,01/02/2022 12:00:00 AM
BRISTOL HOSPITAL,41 BREWSTER RD,,BRISTOL,HARTFORD,CT,06010-5161,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,24.0,12/31/2021 12:00:00 AM
UConn Health Center John Dempsey,263 FARMINGTON AVENUE,,FARMINGTON,HARTFORD,CT,06032,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,24.0,01/01/2022 12:00:00 AM
UConn Health Center John Dempsey,263 FARMINGTON AVENUE,,FARMINGTON,HARTFORD,CT,06032,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,24.0,01/01/2022 12:00:00 AM
HARTFORD HOSPITAL/MAIN HOSPITAL,75 Jefferson St,,Hartford,HARTFORD,CT,06115,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/22/2021 12:00:00 AM,336,180.0,01/02/2022 12:00:00 AM
HARTFORD HOSPITAL/MAIN HOSPITAL,75 Jefferson St,,Hartford,HARTFORD,CT,06115,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,336,180.0,01/02/2022 12:00:00 AM
MANCHESTER MEMORIAL HOSPITAL,71 Haynes,BSMT,MANCHESTER,HARTFORD,CT,06040,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,24,,
MIDDLESEX HOSPITAL,28 CRESCENT ST,,MIDDLETOWN,MIDDLESEX,CT,06457-3654,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,24.0,12/29/2021 12:00:00 AM
MIDDLESEX HOSPITAL,28 CRESCENT ST,,MIDDLETOWN,MIDDLESEX,CT,06457-3654,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,24.0,12/29/2021 12:00:00 AM
GRIFFIN HOSPITAL,130 DIVISION ST,,DERBY,NEW HAVEN,CT,06418,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,24.0,12/28/2021 12:00:00 AM
GRIFFIN HOSPITAL,130 DIVISION ST,,DERBY,NEW HAVEN,CT,06418,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/22/2021 12:00:00 AM,48,24.0,12/28/2021 12:00:00 AM
CNMC-MAIN HOSPITAL PHARMACY,111 MICHIGAN AVE. NW MAIN BUILDING,4TH FLOOR - PHARMACY,WASHINGTON,DISTRICT OF COLUMBIA,DC,20010,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/28/2021 12:00:00 AM,24,,
MEDSTAR GEORGETOWN UNIVER HOSPITAL,"3800 RESERVOIR RD NW,",Bles Bldg Rm BG 010,WASHINGTON,DISTRICT OF COLUMBIA,DC,20007,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,48,,
MEDSTAR GEORGETOWN UNIVER HOSPITAL,"3800 RESERVOIR RD NW,",Bles Bldg Rm BG 010,WASHINGTON,DISTRICT OF COLUMBIA,DC,20007,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,,
GWU Hospital Pharmacy,"900  23rd Street NW, B-1018",,Washington,DISTRICT OF COLUMBIA,DC,20037,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,48,,
